"año","fallecidos","siniestros","parque_vehicular","Estandarizado_siniestros","Estandarizado_parque_vehicular","","","",""
"1972","1792","26727","401114","-1.0194932083209","-1.1231221125957","","","",""
"1973","1719","23480","417767","-1.1817260945966","-1.1120587989124","","","",""
"1974","1269","18356","431172","-1.4377412806995","-1.1031532731859","","","",""
"1975","1054","16602","445693","-1.525378016926","-1.0935063400211","","","Media ","Desviación estándar"
"1976","1079","17716","466049","-1.4697181969965","-1.079982962051","","Sinisestros","47131.583333333","20014.437729251"
"1977","1071","19638","514180","-1.373687520242","-1.0480074410706","","Parque","2091688.1875","1505245.2164733"
"1978","1207","19623","589788","-1.3744369792178","-0.99777775146754","","","",""
"1979","1309","21506","608630","-1.2803548958001","-0.98526018968173","","","",""
"1980","1434","25606","797180","-1.0755027757724","-0.85999820715787","","","",""
"1981","1552","33536","863038","-0.67928879727976","-0.8162458674864","","","",""
"1982","1274","55272","912749","0.4067272224575","-0.78322068364528","","","",""
"1983","1363","47889","916360","0.03784351461244","-0.78082173896804","","","",""
"1984","1210","39207","930457","-0.39594334052921","-0.77145648748229","","","",""
"1985","1049","30751","944564","-0.81843834710347","-0.7620845925607","","","",""
"1986","1191","35268","962564","-0.59275126755097","-0.75012640807155","","","",""
"1987","1198","32790","972042","-0.71656189033846","-0.74382975959443","","","",""
"1988","1248","34226","985843","-0.64481368439704","-0.73466115380917","","","",""
"1989","1465","37217","1018255","-0.49537156464023","-0.7131284496057","","","",""
"1990","1587","39479","1074228","-0.38235315110298","-0.67594314624952","","","",""
"1991","1602","40368","1174194","-0.33793521580916","-0.60953137565827","","","",""
"1992","1700","43402","1356503","-0.18634464698864","-0.48841556143423","","","",""
"1993","1760","44837","1476128","-0.11464640497893","-0.40894346035008","","","",""
"1994","1762","44236","1508957","-0.1446747279391","-0.38713372487262","","","",""
"1995","1890","50790","1678675","0.18278888051499","-0.27438266069874","","","",""
"1996","1925","57775","1826137","0.53178694353784","-0.17641722730212","","","",""
"1997","1883","52394","1988647","0.26293102698437","-0.068454751672568","","","",""
"1998","1959","49890","2024510","0.13782134197231","-0.0446293977651","","","",""
"1999","1655","47052","2145437","-0.0039762962322457","0.035707678663766","","","",""
"2000","1698","40926","2128855","-0.3100553419127","0.024691533374927","","","",""
"2001","1562","44831","2176501","-0.11494618856922","0.056344847717711","","","",""
"2002","1549","41734","2218062","-0.26968448508773","0.083955631359578","","","",""
"2003","1703","44450","2195878","-0.13398244655228","0.069217833320282","","","",""
"2004","1757","46620","2298620","-0.025560714732728","0.13747382169719","","","",""
"2005","1626","46328","2351662","-0.04015018279324","0.17271193401239","","","",""
"2006","1652","44839","2657892","-0.11454647711551","0.37615386935199","","","",""
"2007","1645","53682","2824570","0.32728457103211","0.48688532903436","","","",""
"2008","1782","57087","3023050","0.49741175851855","0.61874424333474","","","",""
"2009","1508","56330","3139088","0.45958906221099","0.69583334398763","","","",""
"2010","1595","57746","3375523","0.53033798951813","0.85290741897055","","","",""
"2011","1573","62834","3654727","0.78455447407937","1.0383948046433","","","",""
"2012","1523","61791","3973913","0.73244209330159","1.2504439754407","","","",""
"2013","1623","73276","4263084","1.3062778490378","1.4425528736025","","","",""
"2014","1630","78445","4568664","1.5645414120679","1.6455629856133","","","",""
"2015","1646","79880","4751130","1.6362396540776","1.7667831017799","","","",""
"2016","1675","91711","4960945","2.2273629301869","1.9061723505905","","","",""
"2017","1483","94879","5190704","2.3856486658571","2.0588112678151","","","",""
"2018","1507","89311","5498895","2.1074494940731","2.2635559809204","","","",""
"2019","1617","89983","5718409","2.1410252561849","2.40938869814","","","",""
